id,url,primaryTitle,originalTitle,type,description,primaryImage,contentRating,startYear,endYear,releaseDate,interests,countriesOfOrigin,externalLinks,spokenLanguages,filmingLocations,productionCompanies,budget,grossWorldwide,genres,isAdult,runtimeMinutes,averageRating,numVotes
tt0109830,https://www.imdb.com/title/tt0109830/,Forrest Gump,Forrest Gump,movie,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_.jpg,PG-13,1994,,1994-07-06,"['Epic', 'Drama', 'Romance']",['US'],"['https://www.facebook.com/ForrestGump', 'https://www.instagram.com/forrestgumpfilm/']",['en'],"['Chippewa Square, Savannah, Georgia, USA']","[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0024369', 'name': 'The Steve Tisch Company'}, {'id': 'co0004317', 'name': 'Wendy Finerman Productions'}]",55000000,678226465,"['Drama', 'Romance']",False,142,8.8,2361354
tt0167261,https://www.imdb.com/title/tt0167261/,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,movie,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_.jpg,PG-13,2002,,2002-12-18,"['Adventure Epic', 'Dark Fantasy', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama', 'Fantasy']","['NZ', 'US']","['http://www.lordoftherings.net/', 'https://www.facebook.com/lordoftheringstrilogy']",['en'],"['Hinuera Valley, Matamata, Waikato, New Zealand']","[{'id': 'co0046718', 'name': 'New Line Cinema'}, {'id': 'co0046203', 'name': 'WingNut Films'}, {'id': 'co0061706', 'name': 'The Saul Zaentz Company'}]",94000000,938242927,"['Adventure', 'Drama', 'Fantasy']",False,179,8.8,1859968
tt0137523,https://www.imdb.com/title/tt0137523/,Fight Club,Fight Club,movie,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_.jpg,R,1999,,1999-10-15,"['Psychological Drama', 'Workplace Drama', 'Drama']","['DE', 'US']","['https://www.facebook.com/FightClub', 'https://www.foxmovies.com/movies/fight-club']",['en'],"['240 North Neptune Avenue, Los Angeles, California, USA']","[{'id': 'co0017497', 'name': 'Fox 2000 Pictures'}, {'id': 'co0007127', 'name': 'New Regency Productions'}, {'id': 'co0038102', 'name': 'Linson Films'}]",63000000,101321009,['Drama'],False,139,8.8,2442852
tt1375666,https://www.imdb.com/title/tt1375666/,Inception,Inception,movie,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,PG-13,2010,,2010-07-16,"['Action Epic', 'Adventure Epic', 'Psychological Thriller', 'Sci-Fi Epic', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['US', 'GB']","['http://wwws.warnerbros.co.jp/inception/', 'http://inceptionmovie.warnerbros.com/']","['en', 'ja', 'fr']","['Fortress Mountain, Kananaskis Country, Alberta, Canada']","[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0159111', 'name': 'Legendary Entertainment'}, {'id': 'co0147954', 'name': 'Syncopy'}]",160000000,839030630,"['Action', 'Adventure', 'Sci-Fi']",False,148,8.8,2663542
tt0080684,https://www.imdb.com/title/tt0080684/,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,movie,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_.jpg,PG,1980,,1980-06-18,"['Action Epic', 'Adventure Epic', 'Dark Fantasy', 'Fantasy Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery', 'Action', 'Adventure']",['US'],"['https://www.lucasfilm.com/productions/episode-v/', 'https://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back']",['en'],"['Hardangerjøkulen Glacier, Finse, Norway']","[{'id': 'co0071326', 'name': 'Lucasfilm'}]",18000000,550016086,"['Action', 'Adventure', 'Fantasy']",False,124,8.7,1431042
tt0133093,https://www.imdb.com/title/tt0133093/,The Matrix,The Matrix,movie,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_.jpg,R,1999,,1999-03-31,"['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Gun Fu', 'Martial Arts', 'Sci-Fi Epic', 'Action', 'Sci-Fi']","['US', 'AU']","['https://play.hbomax.com/feature/urn:hbo:feature:GXdu2VgPdq5uAuwEAADak', 'https://www.facebook.com/TheMatrixMovie/']",['en'],"['Nashville, Tennessee, USA']","[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0108864', 'name': 'Village Roadshow Pictures'}, {'id': 'co0060075', 'name': 'Groucho Film Partnership'}]",63000000,467840449,"['Action', 'Sci-Fi']",False,136,8.7,2140326
tt0099685,https://www.imdb.com/title/tt0099685/,Goodfellas,GoodFellas,movie,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_.jpg,R,1990,,1990-09-21,"['Docudrama', 'Gangster', 'True Crime', 'Biography', 'Crime', 'Drama']",['US'],['https://archive.org/embed/goodfellas.-1990.1080p.-blu-ray.x-264-yts.-am'],"['en', 'it', 'he', 'yi']","['The Oriental Manor, 1818 86th St, Brooklyn, New York City, New York, USA']","[{'id': 'co0002663', 'name': 'Warner Bros.'}]",25000000,47055110,"['Biography', 'Crime', 'Drama']",False,145,8.7,1314846
tt0073486,https://www.imdb.com/title/tt0073486/,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,movie,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_.jpg,R,1975,,1975-11-19,"['Medical Drama', 'Psychological Drama', 'Drama']",['US'],,['en'],"['Oregon State Mental Hospital - 2600 Center Street NE, Salem, Oregon, USA']","[{'id': 'co0066949', 'name': 'Fantasy Films'}, {'id': 'co0046377', 'name': 'N.V. Zvaluw'}]",3000000,109115366,['Drama'],False,133,8.7,1110174
tt0816692,https://www.imdb.com/title/tt0816692/,Interstellar,Interstellar,movie,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg,PG-13,2014,,2014-11-07,"['Adventure Epic', 'Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Adventure', 'Drama', 'Sci-Fi']","['US', 'GB', 'CA']","['https://www.facebook.com/Interstellar', 'https://twitter.com/Interstellar']",['en'],['Iceland'],"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0159111', 'name': 'Legendary Entertainment'}]",165000000,732121575,"['Adventure', 'Drama', 'Sci-Fi']",False,169,8.7,2312856
tt0114369,https://www.imdb.com/title/tt0114369/,Se7en,Se7en,movie,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_.jpg,R,1995,,1995-09-22,"['Cop Drama', 'Hard-boiled Detective', 'Legal Drama', 'Police Procedural', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Mystery', 'Thriller']",['US'],['http://www.facebook.com/Se7en.Film'],['en'],"['Pacific Electric Building, Los Angeles, California, USA']","[{'id': 'co0027715', 'name': 'Arnold Kopelson Productions'}, {'id': 'co0078943', 'name': 'Cecchi Gori Pictures'}, {'id': 'co0043545', 'name': 'Juno Pix'}]",33000000,327333559,"['Crime', 'Drama', 'Mystery']",False,127,8.6,1894166
tt0038650,https://www.imdb.com/title/tt0038650/,It's a Wonderful Life,It's a Wonderful Life,movie,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_.jpg,PG,1946,,1947-01-07,"['Feel-Good Romance', 'Holiday Family', 'Holiday Romance', 'Psychological Drama', 'Drama', 'Family', 'Fantasy', 'Holiday', 'Romance']",['US'],['https://www.facebook.com/ItsAWonderfulLifeMovie'],"['en', 'fr']","['4587 Viro Road, La Cañada Flintridge, California, USA']","[{'id': 'co0196361', 'name': 'Liberty Films (II)'}]",3180000,9767242,"['Drama', 'Family', 'Fantasy']",False,130,8.6,524769
tt0047478,https://www.imdb.com/title/tt0047478/,Seven Samurai,Shichinin no samurai,movie,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_.jpg,Not Rated,1954,,1956-11-19,"['Action Epic', 'Epic', 'Period Drama', 'Drama']",['JP'],,['ja'],"['Izu Peninsula, Shizuoka, Japan']","[{'id': 'co0002219', 'name': 'Toho'}]",125000000,1065287,"['Action', 'Drama']",False,207,8.6,381585
tt0102926,https://www.imdb.com/title/tt0102926/,The Silence of the Lambs,The Silence of the Lambs,movie,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_.jpg,R,1991,,1991-02-14,"['Police Procedural', 'Psychological Drama', 'Psychological Thriller', 'Serial Killer', 'Crime', 'Drama', 'Thriller']",['US'],['https://www.facebook.com/TheSilenceOfTheLambsMovie/'],"['en', 'la']","['Bimini Airport, South Bimini Island, Bimini Islands, Bahamas']","[{'id': 'co0165563', 'name': 'Strong Heart/Demme Production'}, {'id': 'co0001995', 'name': 'Orion Pictures'}]",19000000,272742922,"['Crime', 'Drama', 'Horror']",False,118,8.6,1621428
tt0120815,https://www.imdb.com/title/tt0120815/,Saving Private Ryan,Saving Private Ryan,movie,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_.jpg,R,1998,,1998-07-24,"['Epic', 'War Epic', 'Drama', 'War']",['US'],"['https://www.facebook.com/SavingPrivateRyanMovie/', 'https://twitter.com/SavingPFCRyan']","['en', 'fr', 'de', 'cs']","['Curracloe Beach, Ballinesker, County Wexford, Ireland']","[{'id': 'co0819670', 'name': 'Dreamworks Pictures'}, {'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0009119', 'name': 'Amblin Entertainment'}]",70000000,482351251,"['Drama', 'War']",False,169,8.6,1558770
tt0317248,https://www.imdb.com/title/tt0317248/,City of God,Cidade de Deus,movie,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_.jpg,R,2002,,2004-02-13,"['Caper', 'Coming-of-Age', 'Gangster', 'Crime', 'Drama']","['BR', 'FR']","['https://www.facebook.com/CityofGod', 'http://www.miramax.com/movie/city-of-god']",['pt'],"['Rio de Janeiro, Rio de Janeiro, Brazil']","[{'id': 'co0069394', 'name': 'O2 Filmes'}, {'id': 'co0018942', 'name': 'VideoFilmes'}, {'id': 'co0026273', 'name': 'Globo Filmes'}]",3300000,30680793,"['Crime', 'Drama']",False,130,8.6,832285
tt0120689,https://www.imdb.com/title/tt0120689/,The Green Mile,The Green Mile,movie,"Paul Edgecomb, the head guard of a prison, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift.",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,R,1999,,1999-12-10,"['Period Drama', 'Prison Drama', 'Supernatural Fantasy', 'Tragedy', 'Crime', 'Drama', 'Fantasy', 'Mystery']",['US'],"['https://www.facebook.com/TheGreenMileOfficial', 'http://www.thegreenmile.com/']","['en', 'fr']","['Tennessee State Penitentiary, Nashville, Tennessee, USA']","[{'id': 'co0040620', 'name': 'Castle Rock Entertainment'}, {'id': 'co0029398', 'name': 'Darkwoods Productions'}, {'id': 'co0002663', 'name': 'Warner Bros.'}]",60000000,286801374,"['Crime', 'Drama', 'Fantasy']",False,189,8.6,1474126
tt0118799,https://www.imdb.com/title/tt0118799/,Life Is Beautiful,La vita è bella,movie,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_.jpg,PG-13,1997,,1997-12-20,"['Period Drama', 'Tragedy', 'Tragic Romance', 'Comedy', 'Drama', 'Romance', 'War']",['IT'],"['https://www.miramax.com/movie/life-is-beautiful-la-vita-e-bella/', 'http://www.facebook.com/LifeisBeautifulMovie']","['it', 'de', 'en']","['Arezzo, Tuscany, Italy']","[{'id': 'co0030298', 'name': 'Melampo Cinematografica'}, {'id': 'co0037028', 'name': 'Cecchi Gori Group Tiger Cinematografica'}]",20000000,230099013,"['Comedy', 'Drama', 'Romance']",False,116,8.6,772751
tt0103064,https://www.imdb.com/title/tt0103064/,Terminator 2: Judgment Day,Terminator 2: Judgment Day,movie,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_.jpg,R,1991,,1991-07-03,"['Action Epic', 'Artificial Intelligence', 'Cyberpunk', 'Dystopian Sci-Fi', 'Sci-Fi Epic', 'Time Travel', 'Action', 'Adventure', 'Sci-Fi']","['US', 'FR']","['https://www.facebook.com/terminator2', 'http://www.terminator2-3d.de/']","['en', 'es']","['Bayside Parkway & Gateway Boulevard, Fremont, California, USA']","[{'id': 'co0094459', 'name': 'Carolco Pictures'}, {'id': 'co0092551', 'name': 'Pacific Western'}, {'id': 'co0038663', 'name': 'Lightstorm Entertainment'}]",102000000,517778573,"['Action', 'Adventure', 'Sci-Fi']",False,137,8.6,1223594
tt0076759,https://www.imdb.com/title/tt0076759/,Star Wars: Episode IV - A New Hope,Star Wars,movie,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg,PG,1977,,1977-05-25,"['Action Epic', 'Adventure Epic', 'Fantasy Epic', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']",['US'],"['https://www.hotstar.com/id/movies/star-wars-a-new-hope/1260016021', 'https://www.lucasfilm.com/productions/episode-iv/']",['en'],"['Tikal National Park, Guatemala']","[{'id': 'co0071326', 'name': 'Lucasfilm'}, {'id': 'co0000756', 'name': 'Twentieth Century Fox'}]",11000000,775398507,"['Action', 'Adventure', 'Fantasy']",False,121,8.6,1498365
tt0088763,https://www.imdb.com/title/tt0088763/,Back to the Future,Back to the Future,movie,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_.jpg,PG,1985,,1985-07-03,"['High-Concept Comedy', 'Teen Adventure', 'Teen Comedy', 'Time Travel', 'Urban Adventure', 'Adventure', 'Comedy', 'Sci-Fi']",['US'],"['https://www.facebook.com/BTTF', 'http://www.backtothefuture.com/']",['en'],"['Whittier High School - 12417 E. Philadelphia Street, Whittier, California, USA']","[{'id': 'co0005073', 'name': 'Universal Pictures'}, {'id': 'co0009119', 'name': 'Amblin Entertainment'}, {'id': 'co0010110', 'name': 'U-Drive Productions'}]",19000000,384577472,"['Adventure', 'Comedy', 'Sci-Fi']",False,116,8.5,1366929
